USM,UPM,FACTOR,REGION,ZONA,tipo.viv,NivInst,x,y,tipoViv,FACTORlog,y_w,FACTORcounts,ylogc,ylogcpred,ypred
10,17,190,1,1,2,4,0,898083.3333333335,2,0.2672657897138313,170635833.33333337,17,0.3082871283084927,0.1976910026316989,804054.2460641842
12,17,190,1,1,1,2,0,650000,1,0.2672657897138313,123500000,17,-0.015003371610657013,0.1976910026316989,804054.2460641842
2,18,154,1,1,3,1,0,130000,3,0.05719431996697466,20020000,18,-1.6244412840447566,0.025468262003059863,676846.1513549369
3,18,154,1,1,3,4,0,2047449.2527325451,3,0.05719431996697466,315307184.92081195,18,1.1323742959295213,0.025468262003059863,676846.1513549369
4,18,154,1,1,3,7,0,505301.73394319304,3,0.05719431996697466,77816467.02725174,18,-0.2668199906960087,0.025468262003059863,676846.1513549369
5,18,154,1,1,3,4,0,1147937.3657772304,3,0.05719431996697466,176782354.32969347,18,0.553746281463253,0.025468262003059863,676846.1513549369
8,18,154,1,1,3,7,1560000,5892692,3,0.05719431996697466,907474568,18,2.1894924835720637,0.025468262003059863,676846.1513549369
9,18,154,1,1,2,3,1248000,2018226.375,2,0.05719431996697466,310806861.75,18,1.117998638020655,0.025468262003059863,676846.1513549369
11,18,154,1,1,4,7,0,715000,4,0.05719431996697466,110110000,18,0.08030680819366864,0.025468262003059863,676846.1513549369
12,18,154,1,1,2,7,19066.666666666664,3392566.666666667,2,0.05719431996697466,522455266.6666667,18,1.637366308206957,0.025468262003059863,676846.1513549369
1,19,138,1,1,3,4,551200,1449127.104245669,3,-0.052504597289449784,199979540.38590232,19,0.7867409225693365,-0.06484353682187517,618397.959533974
2,19,138,1,1,2,3,0,88500,2,-0.052504597289449784,12213000,19,-2.0089731824864554,-0.06484353682187517,618397.959533974
4,19,138,1,1,3,3,0,390000,3,-0.052504597289449784,53820000,19,-0.5258289953766475,-0.06484353682187517,618397.959533974
5,19,138,1,1,2,7,0,6185833.333333334,2,-0.052504597289449784,853645000.0000001,19,2.238041275823253,-0.06484353682187517,618397.959533974
6,19,138,1,1,3,0,0,422500,3,-0.052504597289449784,58305000,19,-0.44578628770311113,-0.06484353682187517,618397.959533974
8,19,138,1,1,2,3,0,650000,2,-0.052504597289449784,89700000,19,-0.015003371610657013,-0.06484353682187517,618397.959533974
9,19,138,1,1,3,3,0,7890833.333333333,3,-0.052504597289449784,1088935000,19,2.4814812926892067,-0.06484353682187517,618397.959533974
10,19,138,1,1,3,3,17333.333333333336,2370333.333333333,3,-0.052504597289449784,327105999.99999994,19,1.2788101367150695,-0.06484353682187517,618397.959533974
11,19,138,1,1,2,7,0,697666.6666666665,2,-0.052504597289449784,96277999.99999999,19,0.055765699277550596,-0.06484353682187517,618397.959533974
12,19,138,1,1,2,7,0,2865083.3333333335,2,-0.052504597289449784,395381500,19,1.468376980903793,-0.06484353682187517,618397.959533974
1,20,197,1,1,3,4,416000,1066000,3,0.30344544629133363,210002000,20,0.4796928702254508,0.22738120229315872,828284.700768776
3,20,197,1,1,3,8,41676.96,4657860.285,3,0.30344544629133363,917598476.145,20,1.9543357208612093,0.22738120229315872,828284.700768776
4,20,197,1,1,3,7,17333.333333333336,2270666.666666667,3,0.30344544629133363,447321333.3333334,20,1.2358530186141294,0.22738120229315872,828284.700768776
9,20,197,1,1,2,4,0,500000,2,0.30344544629133363,98500000,20,-0.2773676360781483,0.22738120229315872,828284.700768776
10,20,197,1,1,3,3,0,975000.0000000001,3,0.30344544629133363,192075000.00000003,20,0.3904617364975085,0.22738120229315872,828284.700768776
11,20,197,1,1,3,7,0,4669166.666666667,3,0.30344544629133363,919825833.3333334,20,1.95676015627099,0.22738120229315872,828284.700768776
3,21,226,1,1,2,4,0,580666.6666666666,2,0.44077671682563135,131230666.66666666,21,-0.12779886575600052,0.3396493557763022,926695.5534112272
4,21,226,1,1,3,7,0,400000,3,0.44077671682563135,90400000,21,-0.5005111873923571,0.3396493557763022,926695.5534112272
7,21,226,1,1,3,7,0,2512944.7282882403,3,0.44077671682563135,567925508.5931423,21,1.3372348084871053,0.3396493557763022,926695.5534112272
10,21,226,1,1,3,7,0,2540024.4175892854,3,0.44077671682563135,574045518.3751785,21,1.347953238690165,0.3396493557763022,926695.5534112272
11,21,226,1,1,4,4,0,1913166.6666666665,4,0.44077671682563135,432375666.6666666,21,1.0645393543371018,0.3396493557763022,926695.5534112272
1,22,103,1,1,2,6,0,400000,2,-0.345029294217019,41200000,22,-0.5005111873923571,-0.3046784166004737,486529.3934051175
2,22,103,1,1,3,4,0,1516666.6666666667,3,-0.345029294217019,156216666.6666667,22,0.8322944887765473,-0.3046784166004737,486529.3934051175
4,22,103,1,1,3,3,0,2372500.0000000005,3,-0.345029294217019,244367500.00000006,22,1.2797237959837435,-0.3046784166004737,486529.3934051175
5,22,103,1,1,3,7,0,721500,3,-0.345029294217019,74314500,22,0.08935664371358598,-0.3046784166004737,486529.3934051175
6,22,103,1,1,3,2,0,162500,3,-0.345029294217019,16737500,22,-1.4012977327305478,-0.3046784166004737,486529.3934051175
7,22,103,1,1,3,4,4853.333333333334,977686.6666666669,3,-0.345029294217019,100701726.66666669,22,0.3932135024698624,-0.3046784166004737,486529.3934051175
8,22,103,1,1,3,7,0,5704999.999999999,3,-0.345029294217019,587614999.9999999,22,2.1571225277958366,-0.3046784166004737,486529.3934051175
9,22,103,1,1,3,3,0,1386666.6666666667,3,-0.345029294217019,142826666.6666667,22,0.7426823300868595,-0.3046784166004737,486529.3934051175
10,22,103,1,1,3,4,0,520000,3,-0.345029294217019,53560000,22,-0.23814692292486583,-0.3046784166004737,486529.3934051175
11,22,103,1,1,3,4,138666.6666666667,3325833.333333333,3,-0.345029294217019,342560833.3333333,22,1.6174998137544403,-0.3046784166004737,486529.3934051175
12,22,103,1,1,3,4,0,2104350.141336307,3,-0.345029294217019,216748064.5576396,22,1.159786242496427,-0.3046784166004737,486529.3934051175
1,23,146,1,1,4,3,0,542766.6666666667,4,0.003848339261681488,79243933.33333334,23,-0.1952962183982745,-0.018404903088628327,647792.7606645807
3,23,146,1,1,3,2,0,585000,3,0.003848339261681488,85410000,23,-0.1203638872684838,-0.018404903088628327,647792.7606645807
4,23,146,1,1,3,4,0,1350786.6666666665,3,0.003848339261681488,197214853.3333333,23,0.7164666832684468,-0.018404903088628327,647792.7606645807
5,23,146,1,1,3,4,0,1800218.3333333335,3,0.003848339261681488,262831876.6666667,23,1.0036874983244122,-0.018404903088628327,647792.7606645807
6,23,146,1,1,3,2,0,582616.6666666667,3,0.003848339261681488,85062033.33333334,23,-0.12444628299203941,-0.018404903088628327,647792.7606645807
7,23,146,1,1,3,3,104000,104000,3,0.003848339261681488,15184000,23,-1.8475848353589672,-0.018404903088628327,647792.7606645807
8,23,146,1,1,3,3,0,722298.9069819318,3,0.003848339261681488,105455640.41936204,23,0.09046331730864843,-0.018404903088628327,647792.7606645807
